entity_id,entity_type,attribute_name,attribute_value,unit,source_id,source_locator,evidence_level,confidence,notes
connector_standard_df1,connector_standard,seal_location,lead_connector,,df4_connector_review_2014,"Background discussion: DF-1 seal rings are part of lead",SECONDARY_PEER_REVIEWED,CONFIRMED_SECONDARY,"Use as architecture-level statement; ISO 11318 defines DF-1 form/fit but public abstract does not expose seal geometry"
connector_standard_df4,connector_standard,seal_location,generator_header,,df4_connector_review_2014,"Background discussion: DF4 contact seals mounted in device header",SECONDARY_PEER_REVIEWED,CONFIRMED_SECONDARY,"Header seals are renewed when generator is replaced"
biotronik_protego_df4,product_family,terminal_body_insulator,PEEK 450G,,fda_biotronik_protego_review_2014,"Figure 5, PDF p.6",PRIMARY_REGULATORY,CONFIRMED_PRIMARY,"FDA review figure labels the insulating sections between DF4 contacts as PEEK 450G"
biotronik_protego_df4,product_family,terminal_metal,MP35N,,fda_biotronik_protego_review_2014,"Figure 5, PDF p.6",PRIMARY_REGULATORY,CONFIRMED_PRIMARY,"FDA review figure labels terminal pin metal MP35N"
biotronik_protego_df4,product_family,contact_material,Pt/Ir,,fda_biotronik_protego_review_2014,"Figure 5, PDF p.6",PRIMARY_REGULATORY,CONFIRMED_PRIMARY,"FDA review figure labels contact rings Pt/Ir"
biotronik_protego_df4,product_family,connector_transition_design,spiral configuration,,fda_biotronik_protego_review_2014,"PDF p.6",PRIMARY_REGULATORY,CONFIRMED_PRIMARY,"Designed to reduce conductor-cable stress from arm/shoulder movement"
biotronik_protego_df4,product_family,paired_design_delta,"DF4 connector + connector/lead-body transition only",,fda_biotronik_protego_review_2014,"PDF pp.5-7",PRIMARY_REGULATORY,CONFIRMED_PRIMARY,"FDA states components from lead body to tip remain unchanged versus Linoxsmart"
biotronik_protego_df4,product_family,header_df4_seal_material,silicone,,fda_biotronik_protego_review_2014,"Ilesto/Iforia DF4 header discussion, PDF pp.4-5",PRIMARY_REGULATORY,CONFIRMED_PRIMARY,"Applies to paired Biotronik DF4 generator header, not to lead terminal body"
boston_reliance_4site_df4,product_family,terminal_molding,Polyurethane 75D,,boston_reliance_4site_manual,"Table 6, PDF p.37 / source P42",PRIMARY_MANUFACTURER,CONFIRMED_PRIMARY,"Manual covers ENDOTAK RELIANCE 4-Site models including 0272/0273/0275/0276/0292/0293/0295/0296"
boston_reliance_4site_df4,product_family,terminal_pin_and_ring_contacts,MP35N nickel-cobalt alloy,,boston_reliance_4site_manual,"Table 6, PDF p.37 / source P42",PRIMARY_MANUFACTURER,CONFIRMED_PRIMARY,"Exact 4-Site model manual"
boston_reliance_4site_df4,product_family,external_insulation,Silicone rubber,,boston_reliance_4site_manual,"Table 6, PDF p.37 / source P42",PRIMARY_MANUFACTURER,CONFIRMED_PRIMARY,"Lead-body external insulation"
boston_reliance_4site_df4,product_family,pace_sense_conductor,"MP35N nickel-cobalt alloy; PTFE covered",,boston_reliance_4site_manual,"Table 6, PDF p.37 / source P42",PRIMARY_MANUFACTURER,CONFIRMED_PRIMARY,"Exact 4-Site model manual"
boston_reliance_4site_df4,product_family,shock_conductor,"drawn brazed strand cable; ETFE coated",,boston_reliance_4site_manual,"Table 6, PDF p.37 / source P42",PRIMARY_MANUFACTURER,CONFIRMED_PRIMARY,"Exact 4-Site model manual"
boston_reliance_4site_df4,product_family,paired_design_delta,"DF4 connector plus HV cable-conductor change plus added proximal tubing plus suture-sleeve change",,fda_boston_reliance_4site_2010,"FDA final review memo p.3",PRIMARY_REGULATORY,CONFIRMED_PRIMARY,"Confounds any simple attribution of later failure differences to DF4 alone"
medtronic_sprint_quattro_6935m_df4,product,same_lead_body_as_df1,true,,medtronic_df4_press_2012,"Medtronic DF4 FDA-approval announcement",PRIMARY_MANUFACTURER,CONFIRMED_PRIMARY,"Manufacturer states DF4 connector system uses same Sprint Quattro lead body"
medtronic_sprint_quattro_df4,product_family,connector_seal_zone_material,PEEK,,medtronic_6935m_manual_2013,"Section 7.1 / nominal materials table",MANUFACTURER_MANUAL_MIRROR,CONFIRMED_SECONDARY,"Exact Medtronic 6935M technical manual states sealing zone = PEEK; official Japanese PMDA labeling independently lists PEEK among 6935M raw materials"
medtronic_sprint_quattro_6935m_df4,product,connector_seal_zone_material,PEEK,,pmda_medtronic_6935m_2020,"Materials section; model 6935M",PRIMARY_REGULATORY,HIGH_CONFIDENCE_INFERRED,"PMDA primary labeling lists PEEK among exact-model materials but does not identify the component in the extracted text; component assignment is corroborated by the Medtronic technical manual mirror"
medtronic_sprint_quattro_6935m_df4,product,df4_pin_material,MP35N,,medtronic_6935m_manual_2013,"Section 7.1 / nominal materials table",MANUFACTURER_MANUAL_MIRROR,CONFIRMED_SECONDARY,"Exact model manual"
