manufacturer,family,model,ra_connector,rv_connector,lv_connector,source_id,confidence,notes
Boston Scientific,DYNAGEN EL ICD,D150,,DF4,,boston_dynagen_icd_page,CONFIRMED_PRIMARY,
Boston Scientific,DYNAGEN EL ICD,D151,,IS-1/DF-1,,boston_dynagen_icd_page,CONFIRMED_PRIMARY,
Boston Scientific,DYNAGEN EL ICD,D152,IS-1,DF4,,boston_dynagen_icd_page,CONFIRMED_PRIMARY,
Boston Scientific,DYNAGEN EL ICD,D153,IS-1,IS-1/DF-1,,boston_dynagen_icd_page,CONFIRMED_PRIMARY,
Boston Scientific,INOGEN EL ICD,D140,,DF4,,boston_inogen_icd_page,CONFIRMED_PRIMARY,
Boston Scientific,INOGEN EL ICD,D141,,IS-1/DF-1,,boston_inogen_icd_page,CONFIRMED_PRIMARY,
Boston Scientific,INOGEN EL ICD,D142,IS-1,DF4,,boston_inogen_icd_page,CONFIRMED_PRIMARY,
Boston Scientific,INOGEN EL ICD,D143,IS-1,IS-1/DF-1,,boston_inogen_icd_page,CONFIRMED_PRIMARY,
Boston Scientific,DYNAGEN X4 CRT-D,G156,IS-1,IS-1/DF-1,IS4,boston_dynagen_crtd_page,CONFIRMED_PRIMARY,
Boston Scientific,DYNAGEN X4 CRT-D,G158,IS-1,DF4,IS4,boston_dynagen_crtd_page,CONFIRMED_PRIMARY,
Boston Scientific,DYNAGEN CRT-D,G150,IS-1,DF4,IS-1,boston_dynagen_crtd_page,CONFIRMED_PRIMARY,
Boston Scientific,DYNAGEN CRT-D,G151,IS-1,IS-1/DF-1,IS-1,boston_dynagen_crtd_page,CONFIRMED_PRIMARY,
Boston Scientific,INOGEN X4 CRT-D,G148,IS-1,DF4,IS4,boston_inogen_x4_page,CONFIRMED_PRIMARY,
Boston Scientific,MOMENTUM EL ICD,D120,,IS-1/DF-1,,boston_resonate_icd_manual,CONFIRMED_PRIMARY,
Boston Scientific,MOMENTUM EL ICD,D121,IS-1,IS-1/DF-1,,boston_resonate_icd_manual,CONFIRMED_PRIMARY,
Boston Scientific,VIGILANT EL ICD,D232,,DF4,,boston_resonate_icd_manual,CONFIRMED_PRIMARY,
Boston Scientific,VIGILANT EL ICD,D233,IS-1,DF4,,boston_resonate_icd_manual,CONFIRMED_PRIMARY,
Boston Scientific,RESONATE EL ICD,D432,,DF4,,boston_resonate_icd_manual,CONFIRMED_PRIMARY,
Boston Scientific,RESONATE EL ICD,D433,IS-1,DF4,,boston_resonate_icd_manual,CONFIRMED_PRIMARY,
Boston Scientific,RESONATE X4 CRT-D,G447,IS-1,DF4,IS4,boston_resonate_crtd_manual,CONFIRMED_PRIMARY,
