phenotype_code,scope,primary_question,narrative_cues,structured_problem_codes,inclusion_rule,common_false_positive,certainty_rule
PIN_UNDERINSERTION,lead_header_interface,"Was the lead pin incompletely seated?","under-insert; incomplete insertion; not fully inserted; terminal pin; reseat; reinsert","Difficult to Insert (1316); Fitting Problem (2183); Misconnection (1399); Connection Problem (2900)","Narrative identifies or strongly suspects incomplete seating in header","Normal-looking differences in terminal-pin depth with normal electrical testing","CONFIRMED only if visual/lab/procedural evidence supports; SUSPECTED if technical-services differential only"
PIN_MISCONNECTION,lead_header_interface,"Was the lead attached incorrectly in the header?","incorrectly attached; wrong port; misconnection; detached and re-attached; reconnect","Misconnection (1399); Loose or Intermittent Connection (1371); Connection Problem (2900)","Narrative localizes abnormality to header attachment and correction occurs with reconnection","Generic high impedance without interface localization","PROBABLE if re-seating normalizes parameters; CONFIRMED requires inspection or returned-product evidence"
CONTACT_INTERMITTENCY,lead_header_interface,"Was there intermittent terminal-to-header electrical contact?","intermittent connection; header contact; connector block; spring contact; terminal ring","Loose or Intermittent Connection (1371); Connection Problem (2900); Signal Artifact/Noise (1036)","Narrative specifically implicates terminal/header contact or reproduced contact intermittency","Lead conductor fracture near terminal can mimic header intermittency","Require differential/root-cause field so near-terminal fracture is not counted as header failure"
SETSCREW_CONTACT,lead_header_interface,"Did setscrew fixation/contact fail?","set screw; setscrew; screw block; torque; loose screw","Loose or Intermittent Connection (1371); Connection Problem (2900)","Narrative identifies setscrew/terminal fixation mechanism","Generic loose connection","CONFIRMED/PROBABLE only with explicit setscrew evidence"
HEADER_BORE_INSERTION,lead_header_interface,"Did header bore geometry/obstruction prevent normal insertion?","difficult to insert; bore; connector port; obstruction; pin gauge","Difficult to Insert (1316); Fitting Problem (2183); Connection Problem (2900)","Insertion difficulty localizes to generator header/bore","Damaged or oversized lead terminal","Use returned-device pin-gauge testing when available"
SEAL_INGRESS,lead_header_interface,"Did fluid/contamination cross the sealing system?","fluid; blood; ingress; moisture; contamination; seal; sealing ring","Electrical Shorting (2926); Connection Problem (2900); corrosion-related codes","Narrative or analysis documents fluid/contamination at connector interface","Pocket fluid with no evidence it crossed connector seals","CONFIRMED requires visual/manufacturer evidence"
INTERCONTACT_LEAKAGE,lead_header_interface,"Was there current leakage between isolated connector poles?","current leakage; leakage path; between contacts; cross-contact; conductive bridge","Electrical Shorting (2926); Connection Problem (2900)","Narrative/manufacturer analysis identifies leakage between connector contacts","The word crosstalk in sensing narrative alone","Never infer physical leakage from oversensing alone"
INTERCONTACT_SHORT,lead_header_interface,"Was there a physical short between contact regions?","short circuit; short between; conductive bridge; contact-to-contact","Electrical Shorting (2926)","Physical/electrical analysis supports a short between connector poles","Lead-body internal short or can-to-header antenna short","Must localize short to lead-header contact system"
CROSSTALK_SIGNAL,electrical_manifestation,"Was cross-channel/crosstalk sensing reported without proven physical leakage?","crosstalk; cross-talk; cross channel; oversensing","Over-Sensing (1438); Signal Artifact/Noise (1036)","Narrative explicitly reports crosstalk","Physical connector short if separately proven","Classify separately from INTERCONTACT_LEAKAGE/SHORT"
HEADER_INTERFACE_CLEARED,negative_control,"Was the header specifically evaluated and found normal?","header normal; connector normal; set screws normal; spring elements normal; bore normal; pin gauge normal","various","Manufacturer or procedural testing explicitly clears header/interface","No inspection performed","Useful negative control for adjudication and model validation"
GENERATOR_HEADER_ARCOVER,generator_header_nonlead_interface,"Did a generator-header component arc/short independently of the lead-pin interface?","arc-over; antenna; external short; header assembly","Electrical Shorting (2926)","Root cause localized to generator header component other than lead-contact interface","Lead-to-header short","Keep separate so header manufacturing failures do not contaminate DF1/DF4 connector analysis"
